models,engine,gear
揽胜2002年－2009年,3.6升V8 32气门DOHC EFI柴油Lion,自動變速器
揽胜2002年－2009年,AJ汽油4.2 V8超级增压发动机,自動變速器
揽胜2002年－2009年,AJ汽油4.4 V8 EFI (220千瓦),自動變速器
揽胜2002年－2009年,M57 D30 3.0柴油发动机,自動變速器
揽胜2002年－2009年,M62 B44 4.4 V8汽油发动机,自動變速器
DISCOVERY 3 2005 \- 2009 CLASSIC,AJ汽油4.4 V8 EFI (220千瓦),6速手自一体变速器
DISCOVERY 3 2005 \- 2009 CLASSIC,AJ汽油4.4 V8 EFI (220千瓦),全部6速手动变速器
DISCOVERY 3 2005 \- 2009 CLASSIC,Cologne V6 4.0 EFI (SOHC),6速手自一体变速器
DISCOVERY 3 2005 \- 2009 CLASSIC,Cologne V6 4.0 EFI (SOHC),全部6速手动变速器
DISCOVERY 3 2005 \- 2009 CLASSIC,Lion柴油2.7 V6 (140千瓦),6速手自一体变速器
DISCOVERY 3 2005 \- 2009 CLASSIC,Lion柴油2.7 V6 (140千瓦),全部6速手动变速器
运动版揽胜2005年－2009年,3.6升V8 32气门DOHC EFI柴油Lion,6速自動ZF 6HP26 Steptronic
运动版揽胜2005年－2009年,AJ汽油4.2 V8超级增压发动机,6速自動ZF 6HP26 Steptronic
运动版揽胜2005年－2009年,AJ汽油4.4 V8 EFI (220千瓦),6速自動ZF 6HP26 Steptronic
运动版揽胜2005年－2009年,Lion柴油2.7 V6 (140千瓦),6速自動ZF 6HP26 Steptronic
第二代神行者 2006年－2014年,2.0L 16V TIVCT T/C 240PS汽油版,6速自动AWF21全轮驱动
第二代神行者 2006年－2014年,2.0L 16V TIVCT T/C 240PS汽油版,6速手動變速箱
第二代神行者 2006年－2014年,2.0L 16V TIVCT T/C 240PS汽油版,6速手動變速箱 \- M66 2WD
第二代神行者 2006年－2014年,2.2L CR DI 16V柴油版,6速自动AWF21全轮驱动
第二代神行者 2006年－2014年,2.2L CR DI 16V柴油版,6速手動變速箱
第二代神行者 2006年－2014年,2.2L CR DI 16V柴油版,6速手動變速箱 \- M66 2WD
第二代神行者 2006年－2014年,2.2L DOHC EFI TC DW12,6速自动AWF21全轮驱动
第二代神行者 2006年－2014年,2.2L DOHC EFI TC DW12,6速手動變速箱
第二代神行者 2006年－2014年,2.2L DOHC EFI TC DW12,6速手動變速箱 \- M66 2WD
第二代神行者 2006年－2014年,3.2升DOHC MPI汽油机I6,6速自动AWF21全轮驱动
第二代神行者 2006年－2014年,3.2升DOHC MPI汽油机I6,6速手動變速箱
第二代神行者 2006年－2014年,3.2升DOHC MPI汽油机I6,6速手動變速箱 \- M66 2WD
揽胜2010年－2012年,3.6升V8 32气门DOHC EFI柴油Lion,6速自动变速箱ZF 6HP28
揽胜2010年－2012年,3.6升V8 32气门DOHC EFI柴油Lion,6速自動ZF 6HP26 Steptronic
揽胜2010年－2012年,3.6升V8 32气门DOHC EFI柴油Lion,8速自动变速器ZF 8HP70 4轮驱动
揽胜2010年－2012年,3.6升V8 32气门DOHC EFI柴油Lion,自動變速器
揽胜2010年－2012年,4.4L DOHC DITC V8 Diesel,6速自动变速箱ZF 6HP28
揽胜2010年－2012年,4.4L DOHC DITC V8 Diesel,6速自動ZF 6HP26 Steptronic
揽胜2010年－2012年,4.4L DOHC DITC V8 Diesel,8速自动变速器ZF 8HP70 4轮驱动
揽胜2010年－2012年,4.4L DOHC DITC V8 Diesel,自動變速器
揽胜2010年－2012年,5.0升OHC SGDI NA V8汽油 \- AJ133,6速自动变速箱ZF 6HP28
揽胜2010年－2012年,5.0升OHC SGDI NA V8汽油 \- AJ133,6速自動ZF 6HP26 Steptronic
揽胜2010年－2012年,5.0升OHC SGDI NA V8汽油 \- AJ133,8速自动变速器ZF 8HP70 4轮驱动
揽胜2010年－2012年,5.0升OHC SGDI NA V8汽油 \- AJ133,自動變速器
揽胜2010年－2012年,5.0升OHC SGDI SC V8汽油 \- AJ133,6速自动变速箱ZF 6HP28
揽胜2010年－2012年,5.0升OHC SGDI SC V8汽油 \- AJ133,6速自動ZF 6HP26 Steptronic
揽胜2010年－2012年,5.0升OHC SGDI SC V8汽油 \- AJ133,8速自动变速器ZF 8HP70 4轮驱动
揽胜2010年－2012年,5.0升OHC SGDI SC V8汽油 \- AJ133,自動變速器
第四代路虎发现2010年 >,3.0 V6 D Gen2 Twin Turbo,6速自动变速箱ZF 6HP28
第四代路虎发现2010年 >,3.0 V6 D Gen2 Twin Turbo,6速自動ZF 6HP26 Steptronic
第四代路虎发现2010年 >,3.0 V6 D Gen2 Twin Turbo,6速手动ZF S6\-53
第四代路虎发现2010年 >,3.0 V6 D Gen2 Twin Turbo,8速自动变速器ZF 8HP70 4轮驱动
第四代路虎发现2010年 >,3.0 V6 D Gen2 Twin Turbo,自動變速器
第四代路虎发现2010年 >,3.0升24气门V6涡轮增压柴油机,6速自动变速箱ZF 6HP28
第四代路虎发现2010年 >,3.0升24气门V6涡轮增压柴油机,6速自動ZF 6HP26 Steptronic
第四代路虎发现2010年 >,3.0升24气门V6涡轮增压柴油机,6速手动ZF S6\-53
第四代路虎发现2010年 >,3.0升24气门V6涡轮增压柴油机,8速自动变速器ZF 8HP70 4轮驱动
第四代路虎发现2010年 >,3.0升24气门V6涡轮增压柴油机,自動變速器
第四代路虎发现2010年 >,3.0L 24V V6涡轮柴油标准流,6速自动变速箱ZF 6HP28
第四代路虎发现2010年 >,3.0L 24V V6涡轮柴油标准流,6速自動ZF 6HP26 Steptronic
第四代路虎发现2010年 >,3.0L 24V V6涡轮柴油标准流,6速手动ZF S6\-53
第四代路虎发现2010年 >,3.0L 24V V6涡轮柴油标准流,8速自动变速器ZF 8HP70 4轮驱动
第四代路虎发现2010年 >,3.0L 24V V6涡轮柴油标准流,自動變速器
第四代路虎发现2010年 >,3.0公升 DOHC GDI SC V6汽油版,6速自动变速箱ZF 6HP28
第四代路虎发现2010年 >,3.0公升 DOHC GDI SC V6汽油版,6速自動ZF 6HP26 Steptronic
第四代路虎发现2010年 >,3.0公升 DOHC GDI SC V6汽油版,6速手动ZF S6\-53
第四代路虎发现2010年 >,3.0公升 DOHC GDI SC V6汽油版,8速自动变速器ZF 8HP70 4轮驱动
第四代路虎发现2010年 >,3.0公升 DOHC GDI SC V6汽油版,自動變速器
第四代路虎发现2010年 >,5.0升OHC SGDI NA V8汽油 \- AJ133,6速自动变速箱ZF 6HP28
第四代路虎发现2010年 >,5.0升OHC SGDI NA V8汽油 \- AJ133,6速自動ZF 6HP26 Steptronic
第四代路虎发现2010年 >,5.0升OHC SGDI NA V8汽油 \- AJ133,6速手动ZF S6\-53
第四代路虎发现2010年 >,5.0升OHC SGDI NA V8汽油 \- AJ133,8速自动变速器ZF 8HP70 4轮驱动
第四代路虎发现2010年 >,5.0升OHC SGDI NA V8汽油 \- AJ133,自動變速器
第四代路虎发现2010年 >,Cologne V6 4.0 EFI (SOHC),6速自动变速箱ZF 6HP28
第四代路虎发现2010年 >,Cologne V6 4.0 EFI (SOHC),6速自動ZF 6HP26 Steptronic
第四代路虎发现2010年 >,Cologne V6 4.0 EFI (SOHC),6速手动ZF S6\-53
第四代路虎发现2010年 >,Cologne V6 4.0 EFI (SOHC),8速自动变速器ZF 8HP70 4轮驱动
第四代路虎发现2010年 >,Cologne V6 4.0 EFI (SOHC),自動變速器
第四代路虎发现2010年 >,Lion柴油2.7 V6 (140千瓦),6速自动变速箱ZF 6HP28
第四代路虎发现2010年 >,Lion柴油2.7 V6 (140千瓦),6速自動ZF 6HP26 Steptronic
第四代路虎发现2010年 >,Lion柴油2.7 V6 (140千瓦),6速手动ZF S6\-53
第四代路虎发现2010年 >,Lion柴油2.7 V6 (140千瓦),8速自动变速器ZF 8HP70 4轮驱动
第四代路虎发现2010年 >,Lion柴油2.7 V6 (140千瓦),自動變速器
运动版揽胜2010年－2013年,3.0升24气门V6涡轮增压柴油机,6速自动变速箱ZF 6HP28
运动版揽胜2010年－2013年,3.0升24气门V6涡轮增压柴油机,6速自動ZF 6HP26 Steptronic
运动版揽胜2010年－2013年,3.0升24气门V6涡轮增压柴油机,8速自动变速器ZF 8HP70 4轮驱动
运动版揽胜2010年－2013年,3.6升V8 32气门DOHC EFI柴油Lion,6速自动变速箱ZF 6HP28
运动版揽胜2010年－2013年,3.6升V8 32气门DOHC EFI柴油Lion,6速自動ZF 6HP26 Steptronic
